Organisational Family,Organisation,Category,Service Type, Price 
Communities and Local Government,Firebuy,Energy & Utilities,Gas, £-   
Communities and Local Government,Firebuy,Energy & Utilities,Solid Fuels, £-   
Communities and Local Government,Firebuy,Energy & Utilities,Water, £-   
Communities and Local Government,Firebuy,Energy & Utilities,Uncategorised, £-   
Communities and Local Government,Firebuy,Fuels Lubricants & Gases,Fuels, £-   
Communities and Local Government,Firebuy,Fuels Lubricants & Gases,Gases, £-   
Communities and Local Government,Firebuy,Fuels Lubricants & Gases,Lubricants, £-   
Communities and Local Government,Firebuy,Fuels Lubricants & Gases,Uncategorised, £-   
Communities and Local Government,Firebuy,Vehicles,Fleet Management, £-   
Communities and Local Government,Firebuy,Vehicles,Leasing," £28,473 "
Communities and Local Government,Firebuy,Vehicles,Purchase, £-   
Communities and Local Government,Firebuy,Vehicles,Vehicle Disposal, £-   
Communities and Local Government,Firebuy,Vehicles,Vehicle Maintenance, £-   
Communities and Local Government,Firebuy,Vehicles,Uncategorised, £-   
Communities and Local Government,Firebuy,Operational Goods,Animal Related Goods, £-   
Communities and Local Government,Firebuy,Operational Goods,Art & Exhibits, £-   
Communities and Local Government,Firebuy,Operational Goods,Clothing, £-   
Communities and Local Government,Firebuy,Operational Goods,Domestic Goods, £-   
Communities and Local Government,Firebuy,Operational Goods,Environmental Materials, £-   
Communities and Local Government,Firebuy,Operational Goods,Learning & Development Materials," £4,982 "
Communities and Local Government,Firebuy,Operational Goods,Non-Catering Vending Machines, £-   
Communities and Local Government,Firebuy,Operational Goods,Uncategorised, £-   
Communities and Local Government,Firebuy,Engineering Goods,Industrial, £-   
Communities and Local Government,Firebuy,Engineering Goods,Non-Medical Chemicals, £-   
Communities and Local Government,Firebuy,Engineering Goods,Tools, £-   
Communities and Local Government,Firebuy,Engineering Goods,Uncategorised, £-   
Communities and Local Government,Firebuy,Waste Management,Waste Management Materials, £-   
Communities and Local Government,Firebuy,Waste Management,Waste Management Services, £-   
Communities and Local Government,Firebuy,Waste Management,Uncategorised, £-   
Communities and Local Government,Government Offices,Professional Services Other,Clinical Support Services," £20,026 "
Communities and Local Government,Government Offices,Professional Services Other,Environmental Services," £166,401 "
Communities and Local Government,Government Offices,Professional Services Other,Financial Services," £1,094,577 "
Communities and Local Government,Government Offices,Professional Services Other,Interpretation & Translation Services," £6,700 "
Communities and Local Government,Government Offices,Professional Services Other,Learning & Development Services," £340,748 "
Communities and Local Government,Government Offices,Professional Services Other,Legal Services, £-   
Communities and Local Government,Government Offices,Professional Services Other,Operational Services," £71,110 "
Communities and Local Government,Government Offices,Professional Services Other,Technical Services," £102,807 "
Communities and Local Government,Government Offices,Professional Services Other,Uncategorised," £617,410 "
Communities and Local Government,Government Offices,Professional Services Temporary Staff,Admin & Clerical," £3,086,342 "
Communities and Local Government,Government Offices,Professional Services Temporary Staff,Interim Managers, £-   
Communities and Local Government,Government Offices,Professional Services Temporary Staff,Specialist Contractors," £15,212 "
Communities and Local Government,Government Offices,Professional Services Temporary Staff,Uncategorised, £-   
Communities and Local Government,Government Offices,Professional Services Consultancy,Finance Consultancy, £-   
Communities and Local Government,Government Offices,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £499,457 "
Communities and Local Government,Government Offices,Professional Services Consultancy,IT/IS Consultancy," £8,950,190 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Legal Consultancy," £62,135 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
Communities and Local Government,Government Offices,Professional Services Consultancy,Org & Change Management Consultancy, £-   
Communities and Local Government,Government Offices,Professional Services Consultancy,PPM Consultancy, £-   
Communities and Local Government,Government Offices,Professional Services Consultancy,Procurement Consultancy," £38,027 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Property & Construction Consultancy," £174,658 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Strategy Consultancy," £1,848,571 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Technical Consultancy," £26,055 "
Communities and Local Government,Government Offices,Professional Services Consultancy,Uncategorised, £-   
Communities and Local Government,Government Offices,Personnel Related,Events Admissions," £106,242 "
Communities and Local Government,Government Offices,Personnel Related,Staff Childcare, £-   
Communities and Local Government,Government Offices,Personnel Related,Staff Health & Safety," £4,298 "
Communities and Local Government,Government Offices,Personnel Related,Staff Medical Care, £-   
Communities and Local Government,Government Offices,Personnel Related,Staff Relocation, £-   
Communities and Local Government,Government Offices,Personnel Related,Staff Subscriptions, £-   
Communities and Local Government,Government Offices,Personnel Related,Uncategorised, £-   
Communities and Local Government,Government Offices,Social Care,Adult Social Care," £19,365 "
Communities and Local Government,Government Offices,Social Care,Child Social Care," £30,262 "
Communities and Local Government,Government Offices,Social Care,Educational Programmes, £-   
Communities and Local Government,Government Offices,Social Care,Emergency Services," £2,007 "
Communities and Local Government,Government Offices,Social Care,Entertainment Services," £10,759 "
Communities and Local Government,Government Offices,Social Care,Legal Aid, £-   
Communities and Local Government,Government Offices,Social Care,Operation of Custodial Facilities, £-   
Communities and Local Government,Government Offices,Social Care,Transport Provision, £-   
Communities and Local Government,Government Offices,Social Care,Welfare to Work, £-   
Communities and Local Government,Government Offices,Social Care,World Programmes, £-   
Communities and Local Government,Government Offices,Social Care,Uncategorised, £-   
Communities and Local Government,Government Offices,Marketing & Media,Advertising," £722,636 "
Communities and Local Government,Government Offices,Marketing & Media,Marketing," £429,983 "
Communities and Local Government,Government Offices,Marketing & Media,Promotion, £-   
Communities and Local Government,Government Offices,Marketing & Media,Uncategorised, £-   
Communities and Local Government,Government Offices,Facilities,Accommodation Services," £7,232,795 "
Communities and Local Government,Government Offices,Facilities,Building Management," £13,204,678 "
Communities and Local Government,Government Offices,Facilities,Catering," £168,497 "
Communities and Local Government,Government Offices,Facilities,Cleaning," £97,048 "
Communities and Local Government,Government Offices,Facilities,Food," £19,247 "
Communities and Local Government,Government Offices,Facilities,Office Furniture," £959,760 "
Communities and Local Government,Government Offices,Facilities,Security," £98,911 "
Communities and Local Government,Government Offices,Facilities,Uncategorised, £-   
Communities and Local Government,Government Offices,Clinical & Medical,Drugs & Biologicals, £-   
Communities and Local Government,Government Offices,Clinical & Medical,Medical & Surgical Consumables, £-   
Communities and Local Government,Government Offices,Clinical & Medical,Medical & Surgical Equipment," £2,025 "
Communities and Local Government,Government Offices,Clinical & Medical,Pathology, £-   
Communities and Local Government,Government Offices,Clinical & Medical,Patients Appliances," £2,683 "
Communities and Local Government,Government Offices,Clinical & Medical,Radiological & Diagnostic, £-   
Communities and Local Government,Government Offices,Clinical & Medical,Uncategorised, £-   
Communities and Local Government,Government Offices,Office Solutions,Office Consumables, £-   
Communities and Local Government,Government Offices,Office Solutions,Office Machines," £119,824 "
Communities and Local Government,Government Offices,Office Solutions,Office Services, £-   
Communities and Local Government,Government Offices,Office Solutions,Office Supplies," £102,966 "
Communities and Local Government,Government Offices,Office Solutions,Post & Courier," £96,648 "
Communities and Local Government,Government Offices,Office Solutions,Print," £82,204 "
Communities and Local Government,Government Offices,Office Solutions,Records Storage, £-   
Communities and Local Government,Government Offices,Office Solutions,Reprographics," £3,460 "
Communities and Local Government,Government Offices,Office Solutions,Uncategorised, £-   
Communities and Local Government,Government Offices,Construction,Building Repair & Maintenance," £703,547 "
Communities and Local Government,Government Offices,Construction,Construction Service Providers, £-   
Communities and Local Government,Government Offices,Construction,Construction Supplies," £48,468 "
Communities and Local Government,Government Offices,Construction,Design & Build, £-   
Communities and Local Government,Government Offices,Construction,Main Contractors," £159,826 "
Communities and Local Government,Government Offices,Construction,Prime Contractors, £-   
Communities and Local Government,Government Offices,Construction,Uncategorised, £-   
Communities and Local Government,Government Offices,ICT,Hardware," £12,548 "
Communities and Local Government,Government Offices,ICT,Maintenance & Support, £-   
Communities and Local Government,Government Offices,ICT,Managed / Outsourced Services," £1,712 "
Communities and Local Government,Government Offices,ICT,Networking," £20,417 "
Communities and Local Government,Government Offices,ICT,Software," £70,359 "
Communities and Local Government,Government Offices,ICT,Systems Delivery," £53,641 "
Communities and Local Government,Government Offices,ICT,Telecoms," £911,224 "
Communities and Local Government,Government Offices,ICT,Uncategorised, £-   
Communities and Local Government,Government Offices,Logistics,Transport," £13,576 "
Communities and Local Government,Government Offices,Logistics,Warehousing & Storage," £31,706 "
Communities and Local Government,Government Offices,Logistics,Uncategorised, £-   
Communities and Local Government,Government Offices,Travel,Air," £23,067 "
Communities and Local Government,Government Offices,Travel,Booking Services," £1,025,398 "
Communities and Local Government,Government Offices,Travel,Coach, £-   
Communities and Local Government,Government Offices,Travel,Events Organisation," £66,091 "
Communities and Local Government,Government Offices,Travel,Ferry, £-   
Communities and Local Government,Government Offices,Travel,Hotels," £88,801 "
Communities and Local Government,Government Offices,Travel,Rail, £-   
Communities and Local Government,Government Offices,Travel,Taxi," £4,023 "
Communities and Local Government,Government Offices,Travel,Vehicle Hire," £24,187 "
Communities and Local Government,Government Offices,Travel,Uncategorised, £-   
Communities and Local Government,Government Offices,Defence,Airborne Goods and Services, £-   
Communities and Local Government,Government Offices,Defence,Marine Goods and Services, £-   
Communities and Local Government,Government Offices,Defence,Military Systems, £-   
Communities and Local Government,Government Offices,Defence,Munitions, £-   
Communities and Local Government,Government Offices,Defence,Wheeled / Tracked Goods and Services, £-   
Communities and Local Government,Government Offices,Defence,Uncategorised, £-   
Communities and Local Government,Government Offices,Energy & Utilities,Electricity," £700,056 "
Communities and Local Government,Government Offices,Energy & Utilities,Gas, £-   
Communities and Local Government,Government Offices,Energy & Utilities,Solid Fuels, £-   
Communities and Local Government,Government Offices,Energy & Utilities,Water," £32,465 "
Communities and Local Government,Government Offices,Energy & Utilities,Uncategorised, £-   
Communities and Local Government,Government Offices,Fuels Lubricants & Gases,Fuels, £-   
Communities and Local Government,Government Offices,Fuels Lubricants & Gases,Gases," £61,021 "
Communities and Local Government,Government Offices,Fuels Lubricants & Gases,Lubricants, £-   
Communities and Local Government,Government Offices,Fuels Lubricants & Gases,Uncategorised, £-   
Communities and Local Government,Government Offices,Vehicles,Fleet Management, £-   
Communities and Local Government,Government Offices,Vehicles,Leasing," £171,375 "
Communities and Local Government,Government Offices,Vehicles,Purchase," £2,899 "
Communities and Local Government,Government Offices,Vehicles,Vehicle Disposal, £-   
Communities and Local Government,Government Offices,Vehicles,Vehicle Maintenance," £15,209 "
Communities and Local Government,Government Offices,Vehicles,Uncategorised, £-   
Communities and Local Government,Government Offices,Operational Goods,Animal Related Goods, £-   
Communities and Local Government,Government Offices,Operational Goods,Art & Exhibits, £-   
Communities and Local Government,Government Offices,Operational Goods,Clothing," £2,678 "
Communities and Local Government,Government Offices,Operational Goods,Domestic Goods," £2,526 "
Communities and Local Government,Government Offices,Operational Goods,Environmental Materials," £38,544 "
Communities and Local Government,Government Offices,Operational Goods,Learning & Development Materials," £64,281 "
Communities and Local Government,Government Offices,Operational Goods,Non-Catering Vending Machines, £-   
Communities and Local Government,Government Offices,Operational Goods,Uncategorised, £-   
Communities and Local Government,Government Offices,Engineering Goods,Industrial," £14,941 "
Communities and Local Government,Government Offices,Engineering Goods,Non-Medical Chemicals, £-   
Communities and Local Government,Government Offices,Engineering Goods,Tools, £-   
Communities and Local Government,Government Offices,Engineering Goods,Uncategorised, £-   
Communities and Local Government,Government Offices,Waste Management,Waste Management Materials, £-   
Communities and Local Government,Government Offices,Waste Management,Waste Management Services," £18,727 "
Communities and Local Government,Government Offices,Waste Management,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Other,Clinical Support Services," £144,966 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Environmental Services," £8,091,585 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Financial Services," £4,811,849 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Interpretation & Translation Services," £1,050 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Learning & Development Services," £1,070,571 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Legal Services, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Other,Operational Services," £457,398 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Technical Services," £54,396 "
Communities and Local Government,Homes and Community Agency,Professional Services Other,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Temporary Staff,Admin & Clerical," £2,070,385 "
Communities and Local Government,Homes and Community Agency,Professional Services Temporary Staff,Interim Managers, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Temporary Staff,Specialist Contractors," £200,889 "
Communities and Local Government,Homes and Community Agency,Professional Services Temporary Staff,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Finance Consultancy," £16,446 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £501,385 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,IT/IS Consultancy," £3,573,295 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Legal Consultancy," £15,896,806 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Org & Change Management Consultancy, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,PPM Consultancy," £5,000 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Procurement Consultancy," £71,251 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Property & Construction Consultancy," £33,440,772 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Strategy Consultancy," £2,911,310 "
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Technical Consultancy, £-   
Communities and Local Government,Homes and Community Agency,Professional Services Consultancy,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Personnel Related,Events Admissions," £202,844 "
Communities and Local Government,Homes and Community Agency,Personnel Related,Staff Childcare, £-   
Communities and Local Government,Homes and Community Agency,Personnel Related,Staff Health & Safety," £81,666 "
Communities and Local Government,Homes and Community Agency,Personnel Related,Staff Medical Care, £-   
Communities and Local Government,Homes and Community Agency,Personnel Related,Staff Relocation, £-   
Communities and Local Government,Homes and Community Agency,Personnel Related,Staff Subscriptions, £-   
Communities and Local Government,Homes and Community Agency,Personnel Related,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Adult Social Care," £451,823 "
Communities and Local Government,Homes and Community Agency,Social Care,Child Social Care," £4,269 "
Communities and Local Government,Homes and Community Agency,Social Care,Educational Programmes, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Emergency Services," £23,527 "
Communities and Local Government,Homes and Community Agency,Social Care,Entertainment Services," £898,949 "
Communities and Local Government,Homes and Community Agency,Social Care,Legal Aid, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Operation of Custodial Facilities, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Transport Provision, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Welfare to Work, £-   
Communities and Local Government,Homes and Community Agency,Social Care,World Programmes, £-   
Communities and Local Government,Homes and Community Agency,Social Care,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Marketing & Media,Advertising," £2,355,504 "
Communities and Local Government,Homes and Community Agency,Marketing & Media,Marketing," £1,821,933 "
Communities and Local Government,Homes and Community Agency,Marketing & Media,Promotion," £68,121 "
Communities and Local Government,Homes and Community Agency,Marketing & Media,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Facilities,Accommodation Services," £8,223,379 "
Communities and Local Government,Homes and Community Agency,Facilities,Building Management," £3,850,883 "
Communities and Local Government,Homes and Community Agency,Facilities,Catering," £167,253 "
Communities and Local Government,Homes and Community Agency,Facilities,Cleaning," £452,590 "
Communities and Local Government,Homes and Community Agency,Facilities,Food," £61,923 "
Communities and Local Government,Homes and Community Agency,Facilities,Office Furniture," £191,665 "
Communities and Local Government,Homes and Community Agency,Facilities,Security," £4,003,315 "
Communities and Local Government,Homes and Community Agency,Facilities,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Drugs & Biologicals, £-   
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Medical & Surgical Consumables, £-   
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Medical & Surgical Equipment," £7,913 "
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Pathology," £8,882 "
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Patients Appliances, £-   
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Radiological & Diagnostic, £-   
Communities and Local Government,Homes and Community Agency,Clinical & Medical,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Office Solutions,Office Consumables, £-   
Communities and Local Government,Homes and Community Agency,Office Solutions,Office Machines," £212,544 "
Communities and Local Government,Homes and Community Agency,Office Solutions,Office Services," £72,321 "
Communities and Local Government,Homes and Community Agency,Office Solutions,Office Supplies," £107,173 "
Communities and Local Government,Homes and Community Agency,Office Solutions,Post & Courier," £182,307 "
Communities and Local Government,Homes and Community Agency,Office Solutions,Print," £183,697 "
Communities and Local Government,Homes and Community Agency,Office Solutions,Records Storage, £-   
Communities and Local Government,Homes and Community Agency,Office Solutions,Reprographics, £-   
Communities and Local Government,Homes and Community Agency,Office Solutions,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Construction,Building Repair & Maintenance," £340,343 "
Communities and Local Government,Homes and Community Agency,Construction,Construction Service Providers," £28,490,077 "
Communities and Local Government,Homes and Community Agency,Construction,Construction Supplies," £1,056,728 "
Communities and Local Government,Homes and Community Agency,Construction,Design & Build, £-   
Communities and Local Government,Homes and Community Agency,Construction,Main Contractors," £40,511,092 "
Communities and Local Government,Homes and Community Agency,Construction,Prime Contractors, £-   
Communities and Local Government,Homes and Community Agency,Construction,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,ICT,Hardware," £64,333 "
Communities and Local Government,Homes and Community Agency,ICT,Maintenance & Support," £2,700 "
Communities and Local Government,Homes and Community Agency,ICT,Managed / Outsourced Services," £19,965 "
Communities and Local Government,Homes and Community Agency,ICT,Networking, £-   
Communities and Local Government,Homes and Community Agency,ICT,Software," £182,161 "
Communities and Local Government,Homes and Community Agency,ICT,Systems Delivery," £1,439,278 "
Communities and Local Government,Homes and Community Agency,ICT,Telecoms," £1,291,045 "
Communities and Local Government,Homes and Community Agency,ICT,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Logistics,Transport," £202,941 "
Communities and Local Government,Homes and Community Agency,Logistics,Warehousing & Storage," £971,856 "
Communities and Local Government,Homes and Community Agency,Logistics,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Travel,Air, £-   
Communities and Local Government,Homes and Community Agency,Travel,Booking Services," £204,239 "
Communities and Local Government,Homes and Community Agency,Travel,Coach," £59,338 "
Communities and Local Government,Homes and Community Agency,Travel,Events Organisation," £792,405 "
Communities and Local Government,Homes and Community Agency,Travel,Ferry, £-   
Communities and Local Government,Homes and Community Agency,Travel,Hotels," £358,161 "
Communities and Local Government,Homes and Community Agency,Travel,Rail," £69,374 "
Communities and Local Government,Homes and Community Agency,Travel,Taxi," £28,532 "
Communities and Local Government,Homes and Community Agency,Travel,Vehicle Hire," £51,030 "
Communities and Local Government,Homes and Community Agency,Travel,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Defence,Airborne Goods and Services, £-   
Communities and Local Government,Homes and Community Agency,Defence,Marine Goods and Services," £7,812 "
Communities and Local Government,Homes and Community Agency,Defence,Military Systems, £-   
Communities and Local Government,Homes and Community Agency,Defence,Munitions, £-   
Communities and Local Government,Homes and Community Agency,Defence,Wheeled / Tracked Goods and Services, £-   
Communities and Local Government,Homes and Community Agency,Defence,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Energy & Utilities,Electricity," £3,439,765 "
Communities and Local Government,Homes and Community Agency,Energy & Utilities,Gas, £-   
Communities and Local Government,Homes and Community Agency,Energy & Utilities,Solid Fuels," £18,067 "
Communities and Local Government,Homes and Community Agency,Energy & Utilities,Water," £1,066,334 "
Communities and Local Government,Homes and Community Agency,Energy & Utilities,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Fuels Lubricants & Gases,Fuels, £-   
Communities and Local Government,Homes and Community Agency,Fuels Lubricants & Gases,Gases," £47,041 "
Communities and Local Government,Homes and Community Agency,Fuels Lubricants & Gases,Lubricants, £-   
Communities and Local Government,Homes and Community Agency,Fuels Lubricants & Gases,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Vehicles,Fleet Management," £9,543 "
Communities and Local Government,Homes and Community Agency,Vehicles,Leasing," £1,040,185 "
Communities and Local Government,Homes and Community Agency,Vehicles,Purchase, £-   
Communities and Local Government,Homes and Community Agency,Vehicles,Vehicle Disposal, £-   
Communities and Local Government,Homes and Community Agency,Vehicles,Vehicle Maintenance," £22,871 "
Communities and Local Government,Homes and Community Agency,Vehicles,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Operational Goods,Animal Related Goods, £-   
Communities and Local Government,Homes and Community Agency,Operational Goods,Art & Exhibits, £-   
Communities and Local Government,Homes and Community Agency,Operational Goods,Clothing," £113,776 "
Communities and Local Government,Homes and Community Agency,Operational Goods,Domestic Goods," £24,564 "
Communities and Local Government,Homes and Community Agency,Operational Goods,Environmental Materials," £27,650 "
Communities and Local Government,Homes and Community Agency,Operational Goods,Learning & Development Materials," £588,820 "
Communities and Local Government,Homes and Community Agency,Operational Goods,Non-Catering Vending Machines, £-   
Communities and Local Government,Homes and Community Agency,Operational Goods,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Engineering Goods,Industrial," £275,305 "
Communities and Local Government,Homes and Community Agency,Engineering Goods,Non-Medical Chemicals," £16,850 "
Communities and Local Government,Homes and Community Agency,Engineering Goods,Tools," £12,956 "
Communities and Local Government,Homes and Community Agency,Engineering Goods,Uncategorised, £-   
Communities and Local Government,Homes and Community Agency,Waste Management,Waste Management Materials," £15,699 "
Communities and Local Government,Homes and Community Agency,Waste Management,Waste Management Services," £133,685 "
Communities and Local Government,Homes and Community Agency,Waste Management,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Clinical Support Services, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Environmental Services, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Financial Services," £34,950 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Interpretation & Translation Services, £485 
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Learning & Development Services," £73,569 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Legal Services," £42,031 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Operational Services," £47,319 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Technical Services, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Other,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Temporary Staff,Admin & Clerical," £58,894 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Temporary Staff,Interim Managers, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Temporary Staff,Specialist Contractors, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Temporary Staff,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Finance Consultancy," £7,071 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £12,428 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,IT/IS Consultancy," £1,209 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Legal Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Org & Change Management Consultancy," £2,349 "
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,PPM Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Procurement Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Property & Construction Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Strategy Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Technical Consultancy, £-   
Communities and Local Government,Independent Housing Ombudsman,Professional Services Consultancy,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Events Admissions," £5,607 "
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Staff Childcare, £32 
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Staff Health & Safety," £2,039 "
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Staff Medical Care," £4,448 "
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Staff Relocation, £-   
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Staff Subscriptions," £22,912 "
Communities and Local Government,Independent Housing Ombudsman,Personnel Related,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Adult Social Care, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Child Social Care, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Educational Programmes, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Emergency Services, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Entertainment Services, £353 
Communities and Local Government,Independent Housing Ombudsman,Social Care,Legal Aid, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Operation of Custodial Facilities, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Transport Provision, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Welfare to Work, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,World Programmes, £-   
Communities and Local Government,Independent Housing Ombudsman,Social Care,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Marketing & Media,Advertising, £-   
Communities and Local Government,Independent Housing Ombudsman,Marketing & Media,Marketing," £9,719 "
Communities and Local Government,Independent Housing Ombudsman,Marketing & Media,Promotion, £-   
Communities and Local Government,Independent Housing Ombudsman,Marketing & Media,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Facilities,Accommodation Services, £-   
Communities and Local Government,Independent Housing Ombudsman,Facilities,Building Management," £351,754 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Catering," £3,655 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Cleaning," £16,425 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Food," £14,825 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Office Furniture," £3,058 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Security," £2,070 "
Communities and Local Government,Independent Housing Ombudsman,Facilities,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Drugs & Biologicals, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Medical & Surgical Consumables, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Medical & Surgical Equipment, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Pathology, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Patients Appliances, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Radiological & Diagnostic, £-   
Communities and Local Government,Independent Housing Ombudsman,Clinical & Medical,Uncategorised, £-   
Communities and Local Government,Independent Housing Ombudsman,Office Solutions,Office Consumables," £2,559 "
Communities and Local Government,Independent Housing Ombudsman,Office Solutions,Office Machines," £12,191 "
Communities and Local Government,Independent Housing Ombudsman,Office Solutions,Office Services," £8,404 "
Communities and Local Government,Independent Housing Ombudsman,Office Solutions,Office Supplies," £8,634 "
Communities and Local Government,Independent Housing Ombudsman,Office Solutions,Post & Courier," £6,349 "
